wl,n
7.6708e+00,1.7662e+00
7.7261e+00,1.7631e+00
7.7817e+00,1.7598e+00
7.8378e+00,1.7566e+00
7.8942e+00,1.7532e+00
7.9511e+00,1.7498e+00
8.0084e+00,1.7463e+00
8.0660e+00,1.7428e+00
8.1241e+00,1.7392e+00
8.1827e+00,1.7355e+00
8.2416e+00,1.7318e+00
8.3010e+00,1.7280e+00
8.3608e+00,1.7241e+00
8.4210e+00,1.7201e+00
8.4816e+00,1.7160e+00
8.5427e+00,1.7119e+00
8.6043e+00,1.7077e+00
8.6662e+00,1.7034e+00
8.7287e+00,1.6990e+00
8.7915e+00,1.6945e+00
8.8549e+00,1.6899e+00
8.9186e+00,1.6852e+00
8.9829e+00,1.6804e+00
9.0476e+00,1.6756e+00
9.1128e+00,1.6706e+00
9.1784e+00,1.6655e+00
9.2445e+00,1.6603e+00
9.3111e+00,1.6550e+00
9.3782e+00,1.6496e+00
9.4457e+00,1.6440e+00
9.5138e+00,1.6384e+00
9.5823e+00,1.6326e+00
9.6513e+00,1.6267e+00
9.7208e+00,1.6206e+00
9.7909e+00,1.6144e+00
9.8614e+00,1.6081e+00
9.9324e+00,1.6016e+00
1.0004e+01,1.5950e+00
1.0076e+01,1.5882e+00
1.0149e+01,1.5812e+00
1.0222e+01,1.5741e+00
1.0295e+01,1.5668e+00
1.0369e+01,1.5593e+00
1.0444e+01,1.5517e+00
1.0519e+01,1.5438e+00
1.0595e+01,1.5358e+00
1.0672e+01,1.5275e+00
1.0748e+01,1.5191e+00
1.0826e+01,1.5104e+00
1.0904e+01,1.5014e+00
1.0982e+01,1.4923e+00
1.1061e+01,1.4829e+00
1.1141e+01,1.4732e+00
1.1221e+01,1.4633e+00
1.1302e+01,1.4531e+00
1.1384e+01,1.4426e+00
1.1466e+01,1.4317e+00
1.1548e+01,1.4206e+00
1.1631e+01,1.4092e+00
1.1715e+01,1.3974e+00
1.1800e+01,1.3852e+00
1.1885e+01,1.3727e+00
1.1970e+01,1.3597e+00
1.2056e+01,1.3464e+00
1.2143e+01,1.3326e+00
1.2231e+01,1.3183e+00
1.2319e+01,1.3036e+00
1.2407e+01,1.2883e+00
1.2497e+01,1.2725e+00
1.2587e+01,1.2562e+00
1.2678e+01,1.2392e+00
1.2769e+01,1.2216e+00
1.2861e+01,1.2033e+00
1.2953e+01,1.1843e+00
1.3047e+01,1.1645e+00
1.3141e+01,1.1440e+00
1.3235e+01,1.1225e+00
1.3331e+01,1.1001e+00
1.3427e+01,1.0767e+00
1.3523e+01,1.0523e+00
1.3621e+01,1.0267e+00
1.3719e+01,9.9993e-01
1.3818e+01,9.7183e-01
1.3917e+01,9.4235e-01
1.4018e+01,9.1140e-01
1.4119e+01,8.7890e-01
1.4220e+01,8.4483e-01
1.4323e+01,8.0916e-01
1.4426e+01,7.7198e-01
1.4530e+01,7.3348e-01
1.4634e+01,6.9404e-01
1.4740e+01,6.5432e-01
1.4846e+01,6.1524e-01
1.4953e+01,5.7795e-01
1.5061e+01,5.4367e-01
1.5169e+01,5.1340e-01
1.5278e+01,4.8772e-01
1.5388e+01,4.6677e-01
1.5499e+01,4.5042e-01
1.5611e+01,4.3841e-01
1.5723e+01,4.3053e-01
1.5837e+01,4.2676e-01
1.5951e+01,4.2737e-01
1.6066e+01,4.3311e-01
1.6181e+01,4.4540e-01
1.6298e+01,4.6677e-01
1.6415e+01,5.0114e-01
1.6534e+01,5.5318e-01
1.6653e+01,6.2293e-01
1.6773e+01,6.9215e-01
1.6893e+01,7.2349e-01
1.7015e+01,7.0374e-01
1.7138e+01,6.6021e-01
1.7261e+01,6.2017e-01
1.7385e+01,5.9318e-01
1.7511e+01,5.7916e-01
1.7637e+01,5.7574e-01
